0.008168140899333463,147100067488.27765,<1.470954E+11, 1.1719666E+09, 0>,562.5834712795913,3.1371186286531496,<-30280.832, 141.5622, 0>
0.008482300164692442,147100073811.83713,<1.4709503E+11, 1.2181779E+09, 0>,613.7953811883926,3.137118470734534,<-30280.83, 141.56697, 0>
0.008796459430051421,147100080374.0162,<1.4709465E+11, 1.2643892E+09, 0>,664.97753502056,3.137118306863179,<-30280.83, 141.57193, 0>
0.0091106186954104,147100087174.81436,<1.4709424E+11, 1.3106003E+09, 0>,716.1299359425902,3.1371181370398125,<-30280.828, 141.57706, 0>
0.00942477796076938,147100094214.23096,<1.4709383E+11, 1.3568114E+09, 0>,767.2525879368186,3.1371179612651128,<-30280.826, 141.58238, 0>
0.009738937226128359,147100101492.26538,<1.470934E+11, 1.4030223E+09, 0>,818.3454947248101,3.1371177795399294,<-30280.824, 141.58788, 0>
0.010053096491487338,147100109008.91696,<1.4709296E+11, 1.449233E+09, 0>,869.4086603373289,3.137117591864963,<-30280.824, 141.59355, 0>
0.010367255756846317,147100116764.18506,<1.4709252E+11, 1.4954437E+09, 0>,920.4420889876783,3.1371173982411356,<-30280.822, 141.59941, 0>
0.010681415022205298,147100124758.06894,<1.4709205E+11, 1.5416541E+09, 0>,1023.4520684182644,3.1371171986692197,<-30280.82, 141.60544, 0>
0.010995574287564275,147100132990.5679,<1.4709157E+11, 1.5878644E+09, 0>,1074.4261801093817,3.137116993150134,<-30280.818, 141.61166, 0>
0.011309733552923255,147100141461.68127,<1.4709106E+11, 1.6340746E+09, 0>,1125.3705676794052,3.1371167816847727,<-30280.816, 141.61806, 0>
0.011623892818282236,147100150171.40823,<1.4709055E+11, 1.6802847E+09, 0>,1176.2852361388505,3.1371165642740038,<-30280.814, 141.62463, 0>
0.011938052083641213,147100159119.74808,<1.4709001E+11, 1.7264946E+09, 0>,1227.1701900288463,3.137116340918792,<-30280.812, 141.63138, 0>
